id,nama,tipe_kode,tipe_label,lat,lon
aplicares_1164,LATUBAYA,B,Klinik,-7.54946,112.671
aplicares_1165,KLINIK AL-KAUTSAR,B,Klinik,-7.47407,112.554
aplicares_1166,DRG. DIAH NURANI WIDJAJANTI,G,Praktik Dokter Gigi,-7.3502,112.755
aplicares_1167,drg. Asmikah,G,Praktik Dokter Gigi,-7.38124,112.7
aplicares_1168,DRG. AGUS SUGIANTORO,G,Praktik Dokter Gigi,-7.46309,112.717
aplicares_1169,"EVA YUANITA, drg",G,Praktik Dokter Gigi,-7.44996,112.724
aplicares_1170,drg. Abdul Khizam ,G,Praktik Dokter Gigi,-7.39206,112.761
aplicares_1171,DRG. LUCKY RACHMAWATY,G,Praktik Dokter Gigi,-7.4665999189933,112.72402682209
aplicares_1172,DRG. AYUNG WANDIRA MACHSA,G,Praktik Dokter Gigi,-7.42033,112.672
aplicares_1173,LAB.JENGGOLO DIAGNOSTIC CENTER,L,Laboratorium,-7.444353642426608,112.72064215543742
aplicares_1174,LAB. KLINIK UMUM MADYA PRODIA,L,Laboratorium,-7.44985,112.709
aplicares_1175,LABORATORIUM KLINIK PARAHITA,L,Laboratorium,-7.448941949110626,112.71822648164023
aplicares_1176,OPTIK MC,O,Optik,-7.45063,112.714
aplicares_1177,OPTIK BERLIAN,O,Optik,-7.354075,112.766448
aplicares_1178,OPTIK MERLIN SIDOARJO,O,Optik,-7.467236,112.713252
aplicares_1179,OPTIK INTERNASIONAL A YANI,O,Optik,-7.444444,112.719438
aplicares_1180,OPTIK AIRLANGGA,O,Optik,-7.410109943126592,112.5813751578617
aplicares_1181,OPTIK NICE,O,Optik,-7.44554,112.725
aplicares_1182,optik internasional tropodo,O,Optik,-7.360373380830113,112.76430483016252
aplicares_1183,OPTIK CITRA,O,Optik,-7.433539236794046,112.46367420845034
aplicares_1184,OPTIK SUN SIDOARJO,O,Optik,-7.364765861781417,112.73355162742614
aplicares_1185,OPTIK MAYADA,O,Optik,-7.457097933191961,112.67873196902751
aplicares_1186,OPTIK SAHABAT PORONG,O,Optik,-7.5377866,112.6975771
