id,nama,tipe_kode,tipe_label,lat,lon,wkt_point,punya_isochrone
aplicares_3936,INTERNATIONAL OPTIK,O,Optik,-8.175418128586148,113.7013995070541,POINT(113.7013995070541 -8.175418128586148),False
aplicares_3937,ISTANA OPTIK,O,Optik,-8.1698137,113.6974522,POINT(113.6974522 -8.1698137),False
aplicares_3938,RSD dr Soebandi,R,Rumah Sakit,-8.151129480060952,113.71591195106507,POINT(113.71591195106507 -8.151129480060952),True
aplicares_3939,RSD BALUNG ,R,Rumah Sakit,-8.27132,113.54,POINT(113.54 -8.27132),True
aplicares_3940,RSD Kalisat,R,Rumah Sakit,-8.13397,113.821,POINT(113.821 -8.13397),True
aplicares_3941,RS PARU JEMBER,R,Rumah Sakit,-8.159890773453801,113.70558425760268,POINT(113.70558425760268 -8.159890773453801),True
aplicares_3942,RSU Baladhika Husada Jember,R,Rumah Sakit,-8.163952053065104,113.70617702579497,POINT(113.70617702579497 -8.163952053065104),True
aplicares_3943,RS BINA SEHAT,R,Rumah Sakit,-8.18052,113.685,POINT(113.685 -8.18052),True
aplicares_3944,"MEVIE FITRAH DEWI,DR",U,Praktik Dokter,-8.16711,113.688,POINT(113.688 -8.16711),False
aplicares_3945,"AKHMAD MULTAZAM, DR",U,Praktik Dokter,-8.21524,113.723,POINT(113.723 -8.21524),False
aplicares_3946,"TRIWIRANTO, DR",U,Praktik Dokter,-8.18386,113.652,POINT(113.652 -8.18386),False
aplicares_3947,"LILIK LAKSMIATI, DR",U,Praktik Dokter,-8.14868,113.707,POINT(113.707 -8.14868),False
aplicares_3948,"YUNI ERMITA DJATMIKO, DR",U,Praktik Dokter,-8.2722,113.543,POINT(113.543 -8.2722),False
aplicares_3949,ROGOTRUNAN,0,Puskesmas (kode 0),-8.13165,113.231,POINT(113.231 -8.13165),False
aplicares_3950,LABRUK,0,Puskesmas (kode 0),-8.151653895978002,113.20039562582973,POINT(113.20039562582973 -8.151653895978002),False
aplicares_3951,SUKODONO,0,Puskesmas (kode 0),-8.10274,113.233,POINT(113.233 -8.10274),False
aplicares_3952,PADANG,0,Puskesmas (kode 0),-8.086006722287214,113.1911984834671,POINT(113.1911984834671 -8.086006722287214),False
aplicares_3953,GUCIALIT,0,Puskesmas (kode 0),-8.049088590496455,113.14064058399201,POINT(113.14064058399201 -8.049088590496455),False
aplicares_3954,SENDURO,0,Puskesmas (kode 0),-8.101278924839942,113.09789002943039,POINT(113.09789002943039 -8.101278924839942),False
aplicares_3955,PASRUJAMBE,0,Puskesmas (kode 0),-8.118910169947412,113.05891833114622,POINT(113.05891833114622 -8.118910169947412),False
aplicares_3956,KLAKAH,0,Puskesmas (kode 0),-7.991805014732367,113.2480088729858,POINT(113.2480088729858 -7.991805014732367),False
aplicares_3957,KEDUNGJAJANG,0,Puskesmas (kode 0),-8.050975148139763,113.23630979514124,POINT(113.23630979514124 -8.050975148139763),False
aplicares_3958,RANUYOSO,0,Puskesmas (kode 0),-7.948393282205613,113.26091148710518,POINT(113.26091148710518 -7.948393282205613),False
aplicares_3959,RANDUAGUNG,0,Puskesmas (kode 0),-8.071290622557784,113.30545597553252,POINT(113.30545597553252 -8.071290622557784),False
aplicares_3960,YOSOWILANGUN,0,Puskesmas (kode 0),-8.232883051703208,113.30971346759799,POINT(113.30971346759799 -8.232883051703208),False
aplicares_3961,KUNIR,0,Puskesmas (kode 0),-8.21967,113.226,POINT(113.226 -8.21967),False
aplicares_3962,TEKUNG,1,Puskesmas (kode 1),-8.174893445590797,113.28101562929153,POINT(113.28101562929153 -8.174893445590797),True
aplicares_3963,JATIROTO,1,Puskesmas (kode 1),-8.120237625461497,113.35868886375427,POINT(113.35868886375427 -8.120237625461497),True
aplicares_3964,SUMBERSARI,1,Puskesmas (kode 1),-8.18625004722025,113.30492050552371,POINT(113.30492050552371 -8.18625004722025),True
aplicares_3965,PASIRIAN,1,Puskesmas (kode 1),-8.220097087177617,113.1166754527092,POINT(113.1166754527092 -8.220097087177617),True
aplicares_3966,BADES,1,Puskesmas (kode 1),-8.23685355404532,113.09265405273437,POINT(113.09265405273437 -8.23685355404532),True
aplicares_3967,TEMPEH,1,Puskesmas (kode 1),-8.203142208494334,113.17547495758537,POINT(113.17547495758537 -8.203142208494334),True
aplicares_3968,GESANG,1,Puskesmas (kode 1),-8.179134241911143,113.14767143630984,POINT(113.14767143630984 -8.179134241911143),True
aplicares_3969,CANDIPURO,1,Puskesmas (kode 1),-8.190814950578941,113.07736880373956,POINT(113.07736880373956 -8.190814950578941),True
aplicares_3970,PENANGGAL,1,Puskesmas (kode 1),-8.141000448409063,113.04398927116394,POINT(113.04398927116394 -8.141000448409063),True
aplicares_3971,PRONOJIWO,1,Puskesmas (kode 1),-8.211416958314521,112.94395471060275,POINT(112.94395471060275 -8.211416958314521),True
aplicares_3972,TEMPURSARI,1,Puskesmas (kode 1),-8.292448391656357,112.97303218650815,POINT(112.97303218650815 -8.292448391656357),True
aplicares_3973,WIJAYA OPTIK,O,Optik,-8.13354,113.22,POINT(113.22 -8.13354),False
aplicares_3974,SAHABAT OPTIK,O,Optik,-8.12873,113.223,POINT(113.223 -8.12873),False
aplicares_3975,RS BHAYANGKARA LUMAJANG,R,Rumah Sakit,-8.132787646533034,113.22190612268449,POINT(113.22190612268449 -8.132787646533034),True
aplicares_3976,"DR HARYOTO LUMAJANG, RSUD",R,Rumah Sakit,-8.121882935715336,113.22758157539364,POINT(113.22758157539364 -8.121882935715336),True
aplicares_3977,"TRIWORO S, DR",U,Praktik Dokter,-8.13583,113.228,POINT(113.228 -8.13583),False
aplicares_3978,PUSKESMAS SUMBERMALANG,0,Puskesmas (kode 0),-7.84784,113.705,POINT(113.705 -7.84784),False
aplicares_3979,PUSKESMAS JATIBANTENG,0,Puskesmas (kode 0),-7.780189863417988,113.68353029489519,POINT(113.68353029489519 -7.780189863417988),False
aplicares_3980,PUSKESMAS BESUKI,0,Puskesmas (kode 0),-7.73703,113.689,POINT(113.689 -7.73703),False
aplicares_3981,PUSKESMAS SUBOH,0,Puskesmas (kode 0),-7.75831,113.729,POINT(113.729 -7.75831),False
aplicares_3982,PUSKESMAS MLANDINGAN,0,Puskesmas (kode 0),-7.7403,113.767,POINT(113.767 -7.7403),False
aplicares_3983,PUSKESMAS KENDIT,0,Puskesmas (kode 0),-7.73418,113.926,POINT(113.926 -7.73418),False
aplicares_3984,PUSKESMAS PANARUKAN,0,Puskesmas (kode 0),-7.702586762590095,113.95622081828117,POINT(113.95622081828117 -7.702586762590095),False
aplicares_3985,PUSKESMAS SITUBONDO,0,Puskesmas (kode 0),-7.68612,114.008,POINT(114.008 -7.68612),False
aplicares_3986,PUSKESMAS PANJI,0,Puskesmas (kode 0),-7.69564,114.034,POINT(114.034 -7.69564),False
aplicares_3987,PUSKESMAS MANGARAN,1,Puskesmas (kode 1),-7.62989,114.023,POINT(114.023 -7.62989),True
aplicares_3988,PUSKESMAS KAPONGAN,1,Puskesmas (kode 1),-7.69064,114.065,POINT(114.065 -7.69064),True
aplicares_3989,PUSKESMAS ARJASA,1,Puskesmas (kode 1),-7.731913029637538,114.13968349933627,POINT(114.13968349933627 -7.731913029637538),True
aplicares_3990,PUSKESMAS JANGKAR,1,Puskesmas (kode 1),-7.7381618398681935,114.20983168792725,POINT(114.20983168792725 -7.7381618398681935),True
aplicares_3991,PUSKESMAS ASEMBAGUS,1,Puskesmas (kode 1),-7.751856756883149,114.19249373304841,POINT(114.19249373304841 -7.751856756883149),True
aplicares_3992,PUSKESMAS BANYUPUTIH,1,Puskesmas (kode 1),-7.87721,114.301,POINT(114.301 -7.87721),True
aplicares_3993,PUSKESMAS BANYUGLUGUR,1,Puskesmas (kode 1),-7.72421,113.609,POINT(113.609 -7.72421),True
aplicares_3994,PUSKESMAS BUNGATAN,1,Puskesmas (kode 1),-7.738726103787532,113.79886729526591,POINT(113.79886729526591 -7.738726103787532),True
aplicares_3995,OPTIK ISTANA,O,Optik,-7.709041,114.008928,POINT(114.008928 -7.709041),False
aplicares_3996,OPTIK INTERNASIONAL SITUBONDO,O,Optik,-7.705075,114.01071,POINT(114.01071 -7.705075),False
aplicares_3997,RSUD dr. ABDOER RAHEM,R,Rumah Sakit,-7.69534,113.996,POINT(113.996 -7.69534),True
aplicares_3998,dr. SITI AMINAH,U,Praktik Dokter,-7.7049457627596345,113.99935719776151,POINT(113.99935719776151 -7.7049457627596345),False
aplicares_3999,dr. G.M CANDRAWATI,U,Praktik Dokter,-7.701023741076993,114.00729664492914,POINT(114.00729664492914 -7.701023741076993),False
aplicares_4000,PUSKESMAS NANGKAAN,0,Puskesmas (kode 0),-7.931194990335117,113.81184979629516,POINT(113.81184979629516 -7.931194990335117),False
aplicares_4001,PUSKESMAS KOTAKULON,0,Puskesmas (kode 0),-7.90767,113.813,POINT(113.813 -7.90767),False
