jenis,nama,lat,lon,status_verifikasi,jarak_pencocokan_m
puskesmas,SEMBUNG,-8.062012,111.892883,terverifikasi_2_sumber,20.0
puskesmas,TEGALOMBO,-8.06195,111.2919,terverifikasi_2_sumber,11.5
puskesmas,KAUMAN,-8.060303,111.864502,terverifikasi_2_sumber,55.3
puskesmas,TIUDAN,-8.058594,111.823914,hanya_scrape_perlu_verifikasi,
puskesmas,SUKOWONO,-8.056213,113.828674,terverifikasi_2_sumber,37.7
puskesmas,PUCUNG,-8.051514,111.971497,terverifikasi_2_sumber,60.7
puskesmas,KEDUNGJAJANG,-8.050781,113.236328,terverifikasi_2_sumber,21.7
puskesmas,DOKO,-8.0495,112.418274,hanya_scrape_perlu_verifikasi,
puskesmas,GUCIALIT,-8.048889,113.140686,terverifikasi_2_sumber,22.7
puskesmas,REJOWINANGUN,-8.047913,111.731323,terverifikasi_2_sumber,38.3
puskesmas,GANDUSARI,-8.045288,112.305725,terverifikasi_2_sumber,67.4
puskesmas,KEDUNGWARU,-8.044678,111.911926,terverifikasi_2_sumber,22.9
puskesmas,TUGU,-8.044495,111.653503,terverifikasi_2_sumber,55.6
puskesmas,WONODADI,-8.044189,111.993286,hanya_scrape_perlu_verifikasi,
puskesmas,PONGGOK,-8.041382,112.102722,terverifikasi_2_sumber,36.5
puskesmas,PONCOKUSUMO,-8.038391,112.757507,hanya_scrape_perlu_verifikasi,
puskesmas,GEMAHARJO,-8.038086,111.355286,terverifikasi_2_sumber,46.4
puskesmas,SIMO,-8.035583,111.901306,hanya_scrape_perlu_verifikasi,
puskesmas,TAJINAN,-8.033508,112.677673,hanya_scrape_perlu_verifikasi,
puskesmas,NAILAN,-8.033386,111.413086,terverifikasi_2_sumber,372.3
puskesmas,MAESAN,-8.032288,113.776306,terverifikasi_2_sumber,34.0
puskesmas,WONOSARI,-8.029907,112.481506,hanya_scrape_perlu_verifikasi,
puskesmas,NGLEGOK,-8.026794,112.215515,terverifikasi_2_sumber,67.3
puskesmas,PUCANGANAK,-8.024902,111.616516,terverifikasi_2_sumber,67.5
puskesmas,ARJOWINANGUN,-8.023804,112.647278,hanya_scrape_perlu_verifikasi,
puskesmas,WAGIR,-8.009705,112.554871,hanya_scrape_perlu_verifikasi,
puskesmas,SEMPOL,-8.006775,114.148315,terverifikasi_2_sumber,121.3
puskesmas,BACEM,-8.005127,112.111877,hanya_scrape_perlu_verifikasi,
puskesmas,NGANTRU,-8.003418,111.932495,terverifikasi_2_sumber,54.8
puskesmas,CIPTOMULYO,-8.003418,112.63031,terverifikasi_2_sumber,166.3
puskesmas,TUMPANG,-8.003113,112.762329,hanya_scrape_perlu_verifikasi,
puskesmas,WRINGINANOM,-8.002686,111.497314,hanya_scrape_perlu_verifikasi,
puskesmas,KARANGREJO,-8.001892,111.910278,terverifikasi_2_sumber,30.7
puskesmas,JANTI,-8.000916,112.620728,terverifikasi_2_sumber,31.1
puskesmas,BANDAR,-7.996521,111.260681,hanya_scrape_perlu_verifikasi,
puskesmas,DONO,-7.994812,111.871887,hanya_scrape_perlu_verifikasi,
puskesmas,KEDUNGKANDANG,-7.993103,112.647888,terverifikasi_2_sumber,15.0
puskesmas,PAGERWOJO,-7.991577,111.808716,terverifikasi_2_sumber,32.3
puskesmas,SAMBI,-7.989197,112.039917,hanya_scrape_perlu_verifikasi,
puskesmas,GRIBIG,-7.989014,112.650879,hanya_scrape_perlu_verifikasi,
puskesmas,TLOGOSARI,-7.986389,113.918884,terverifikasi_2_sumber,25.7
puskesmas,MULYOREJO,-7.984924,112.60553,hanya_scrape_perlu_verifikasi,
puskesmas,KLAKAH,-7.984192,113.248291,hanya_scrape_perlu_verifikasi,
puskesmas,SUMBERWRINGIN,-7.979126,113.993286,terverifikasi_2_sumber,26.5
puskesmas,JAMBESARI,-7.979004,113.840881,terverifikasi_2_sumber,20.9
puskesmas,BARENG,-7.97821,112.623474,terverifikasi_2_sumber,64.4
puskesmas,ARJUNO,-7.97821,112.626709,terverifikasi_2_sumber,35.2
puskesmas,PUJER,-7.977112,113.894287,terverifikasi_2_sumber,59.0
puskesmas,GRUJUGAN,-7.976318,113.797119,terverifikasi_2_sumber,7.6
puskesmas,TIRIS,-7.975281,113.404907,hanya_scrape_perlu_verifikasi,
puskesmas,BUNGKAL,-7.974792,111.452271,hanya_scrape_perlu_verifikasi,
puskesmas,SAWOO,-7.974304,111.572693,terverifikasi_2_sumber,76.8
puskesmas,DINOYO,-7.971924,112.63092,hanya_scrape_perlu_verifikasi,
puskesmas,SUMBER,-7.964783,113.092285,hanya_scrape_perlu_verifikasi,
puskesmas,RAMPAL CELAKET,-7.964294,112.631897,terverifikasi_2_sumber,30.6
puskesmas,SAMBIT,-7.960999,111.520691,terverifikasi_2_sumber,50.3
puskesmas,TRAJENG,-7.96041,112.72232,hanya_scrape_perlu_verifikasi,
puskesmas,TRAJENG,-7.96041,112.72232,hanya_scrape_perlu_verifikasi,
puskesmas,NGADI,-7.956702,111.919864,hanya_scrape_perlu_verifikasi,
puskesmas,CISADEA,-7.955505,112.643921,hanya_scrape_perlu_verifikasi,
puskesmas,BALONG,-7.953918,111.395691,hanya_scrape_perlu_verifikasi,
puskesmas,JERUK,-7.950012,111.234314,terverifikasi_2_sumber,38.5
puskesmas,KRAS,-7.949524,111.962097,hanya_scrape_perlu_verifikasi,
puskesmas,RANUYOSO,-7.948425,113.260681,terverifikasi_2_sumber,25.6
puskesmas,PANDANWANGI,-7.947083,112.65509,terverifikasi_2_sumber,38.8
puskesmas,KENDALSARI,-7.946411,112.631287,terverifikasi_2_sumber,36.9
puskesmas,BENDUNGAN,-7.945984,111.698914,hanya_scrape_perlu_verifikasi,
puskesmas,PAKISBARU,-7.944275,111.199524,terverifikasi_2_sumber,7.1
puskesmas,SENDANG,-7.94342,111.832092,terverifikasi_2_sumber,31.7
puskesmas,SUKOSARI,-7.94342,113.964111,terverifikasi_2_sumber,143.3
puskesmas,BONDRANG,-7.940308,111.539307,terverifikasi_2_sumber,34.4
puskesmas,BAJULMATI,-7.938477,114.390503,terverifikasi_2_sumber,55.4
puskesmas,NGANCAR,-7.936707,112.188904,hanya_scrape_perlu_verifikasi,
puskesmas,MOJOLANGU,-7.935425,112.627319,hanya_scrape_perlu_verifikasi,
puskesmas,PAKIS,-7.93294,112.70095,hanya_scrape_perlu_verifikasi,
puskesmas,NANGKAAN,-7.931213,113.811707,terverifikasi_2_sumber,15.9
puskesmas,NAWANGAN,-7.930298,111.183289,hanya_scrape_perlu_verifikasi,
puskesmas,JETIS,-7.92688,111.471313,hanya_scrape_perlu_verifikasi,
puskesmas,JABUNG,-7.926208,112.73468,hanya_scrape_perlu_verifikasi,
puskesmas,MLARAK,-7.921387,111.515076,terverifikasi_2_sumber,341.1
puskesmas,KADEMANGAN,-7.917419,113.832275,terverifikasi_2_sumber,6.2
puskesmas,WATES,-7.916809,112.128723,terverifikasi_2_sumber,35.9
